,title,price,link,location,brand,year,age
0,2003 sv650s track bike,1700,https://charlottesville.craigslist.org/mcy/d/waynesboro-2003-sv650s-track-bike/7788000062.html,Waynesboro,missing,2003.0,22.0
1,2017 indian roadmaster,15495,https://charlottesville.craigslist.org/mcy/d/charlottesville-2017-indian-roadmaster/7787178661.html,Charlottesville,missing,2017.0,8.0
2,2005 yamaha v-star,3750,https://charlottesville.craigslist.org/mcy/d/staunton-2005-yamaha-star/7786327047.html,Staunton,yamaha,2005.0,20.0
3,2021 ktm390 adventure,5500,https://charlottesville.craigslist.org/mcy/d/charlottesville-2021-ktm390-adventure/7786316014.html,Charlottesville,missing,2021.0,4.0
4,2017 ducati scrambler 800,6500,https://charlottesville.craigslist.org/mcy/d/charlottesville-2017-ducati-scrambler/7786296032.html,Charlottesville,ducati,2017.0,8.0
5,2018 vespa gts super abs,4750,https://charlottesville.craigslist.org/mcy/d/charlottesville-2018-vespa-gts-super-abs/7785698828.html,Charlottesville downtown,vespa,2018.0,7.0
6,vintage honda mechanic,0,https://charlottesville.craigslist.org/mcy/d/keswick-vintage-honda-mechanic/7785452452.html,Keswick,honda,,
7,"bad credit, no credit, ok! we work with everyone",0,https://charlottesville.craigslist.org/mcd/d/fayetteville-bad-credit-no-credit-ok-we/7783907774.html,fayetteville,missing,,
8,2016 harley-davidson trike freewheeler,21500,https://charlottesville.craigslist.org/mcy/d/pratts-2016-harley-davidson-trike/7783810366.html,Madison,missing,2016.0,9.0
9,2003 harley fatboy,6500,https://charlottesville.craigslist.org/mcy/d/reva-2003-harley-fatboy/7783739965.html,Reva,harley,2003.0,22.0
10,2011 bmw r1200rt with new tires,6000,https://charlottesville.craigslist.org/mcy/d/roanoke-2011-bmw-r1200rt-with-new-tires/7783450753.html,"Salem, Va.",bmw,2011.0,14.0
11,2003 bmw r1200cl,3000,https://charlottesville.craigslist.org/mcy/d/charlottesville-2003-bmw-r1200cl/7782883071.html,Fry's Spring,bmw,2003.0,22.0
12,2006 honda cb900f,2750,https://charlottesville.craigslist.org/mcy/d/woodberry-forest-2006-honda-cb900f/7781590424.html,Orange,honda,2006.0,19.0
13,2008 bmw r1200 - for sale,5750,https://charlottesville.craigslist.org/mcy/d/charlottesville-2008-bmw-for-sale/7781233321.html,Charlottesville,bmw,2008.0,17.0
14,2012 suzuki burgman 400,2500,https://charlottesville.craigslist.org/mcy/d/charlottesville-2012-suzuki-burgman-400/7781003156.html,Charlottesville,missing,2012.0,13.0
15,"2 harleys & stella w/ sidecar, trades?",24250,https://charlottesville.craigslist.org/mcy/d/palmyra-harleys-stella-sidecar-trades/7780616770.html,N/A,missing,,
16,vespa s150,3299,https://charlottesville.craigslist.org/mcy/d/afton-vespa-s150/7779354384.html,N/A,vespa,,
